73,128,31,27
76,126,31,26
79,129,30,24
82,124,30,25
84,120,28,25
87,124,30,26
92,125,24,17
93,126,29,22
94,127,28,21
93,127,30,23
94,128,31,26
96,128,29,24
99,126,29,24
99,125,30,24
100,126,30,24
102,125,27,26
102,124,31,27
102,126,31,27
103,126,31,26
104,126,31,26
104,127,29,26
104,125,30,27
104,127,32,25
104,125,31,25
104,124,31,26
105,123,29,26
104,127,30,24
106,127,29,23
106,127,29,24
106,127,28,23
106,125,27,23
106,125,29,22
107,125,27,24
105,128,29,22
106,125,29,24
105,124,33,27
106,124,31,25
107,126,29,25
107,126,32,24
108,126,30,24
108,125,32,26
109,125,33,26
110,125,32,26
113,126,30,25
112,127,31,26
112,127,30,25
114,124,34,26
118,123,31,25
122,125,28,24
121,127,31,23
123,125,31,23
125,122,32,25
129,125,31,23
131,125,32,23
135,122,30,26
137,122,31,26
142,118,31,25
143,119,31,24
145,119,32,25
147,120,32,24
149,118,31,24
150,119,32,24
151,123,29,26
149,127,32,23
149,126,32,24
147,123,33,26
143,121,33,25
140,122,32,28
137,124,31,26
131,127,32,26
126,129,33,25
121,129,32,29
115,129,32,29
109,126,35,31
102,127,35,29
94,128,35,29
87,126,36,33
80,127,38,33
73,127,40,34
