139,104,212,145
135,104,209,147
132,108,204,139
130,107,207,140
128,110,201,139
125,112,201,135
123,111,198,135
124,110,195,132
127,109,195,132
131,112,191,130
134,115,189,126
136,119,192,130
138,120,189,129
140,119,187,127
143,117,183,126
142,113,182,124
139,116,182,125
142,121,179,123
139,124,182,123
139,120,180,124
143,121,178,122
148,116,174,121
152,119,174,120
156,120,172,119
161,126,169,119
165,131,169,119
170,138,168,115
176,132,166,116
181,125,166,114
188,119,163,112
196,114,162,113
206,121,158,108
212,126,156,110
218,129,156,109
224,132,151,109
230,136,149,105
238,130,145,102
245,129,146,101
253,127,144,98
261,126,142,101
270,128,138,101
281,132,135,100
287,135,136,95
297,136,134,95
307,137,131,97
314,138,132,93
327,137,124,89
331,138,126,88
337,136,128,90
347,136,124,91
354,137,121,88
362,128,123,88
369,129,118,87
377,130,118,85
383,135,117,87
386,140,116,82
393,129,115,82
400,136,110,85
402,131,111,86
405,132,112,81
407,139,113,83
413,135,111,83
415,138,113,86
423,142,110,83
426,136,113,82
434,141,107,82
439,143,106,80
437,141,112,82
442,143,112,82
445,135,110,81
449,156,110,81
453,138,111,81
453,118,114,82
459,142,108,79
468,141,104,82
470,135,106,82
470,136,108,86
474,145,105,83
468,154,108,81
467,138,111,85
472,152,106,79
471,136,105,83
468,134,108,84
466,140,110,81
462,135,108,80
463,138,105,82
460,138,110,84
454,137,107,83
448,138,110,83
442,139,113,83
435,140,113,85
434,137,112,86
434,137,111,85
428,133,113,88
429,136,109,85
426,138,113,88
423,137,113,85
422,135,113,88
420,134,113,90
416,136,117,89
415,135,117,89
411,134,121,92
407,127,124,93
406,127,125,94
406,132,127,91
408,128,124,97
409,132,124,96
407,129,128,98
410,134,126,98
410,133,130,99
413,132,131,96
416,129,134,98
415,125,140,104
423,124,135,100
430,125,139,101
435,128,139,102
440,127,142,106
449,129,144,104
458,130,144,107
463,127,149,107
475,128,148,108
481,124,152,109
488,123,156,110
495,121,161,117
507,123,157,113
511,125,163,115
523,126,165,119
531,127,165,119
530,123,173,120
543,122,169,123
553,121,168,125
558,127,165,124
